"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_shape1_6","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_KM505_158",1,158,8,7,"check"," (Operator: lizbethpino, Time: )","KM505","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,225,33.28125,10.65,3,36,4,1,225,4,1,0,1,20.81648363,3,4,25,33.28125,6.92798595810938
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_KU50_121",1,121,21,5,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",11.67,106.1,20,NA,"Vietnam",NA,"tani",4,0,1,265,25.921875,8.295,2,26,4,1,265,4,3,2,1,21,1,4,25,25.921875,5.44359375
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh","GBAZEKOUTE,OBAMA,TME 419","202307DMF1C_tani_rep1_TMEB419_89",1,89,12,4,"check"," (Operator: lizbethpino, Time: )","TMEB419","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,225,49.9375,15.98,3,34,4,1,225,4,2,1,1,25.5,3,4,25,49.9375,12.7340625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0003_45",1,45,6,2,"test"," (Operator: lizbethpino, Time: )","VF22-0003","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,180,30.75,9.84,3,54,4,3,180,4,1,0,1,25.3,3,4,25,30.75,7.77975
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0005_99",1,99,2,4,"test"," (Operator: lizbethpino, Time: )","VF22-0005","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,180,38.125,12.2,2,32,4,1,180,4,2,0,1,23,2,4,25,38.125,8.76875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0007_37",1,37,14,2,"test"," (Operator: lizbethpino, Time: )","VF22-0007","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,200,19.9375,6.38,3,38,4,1,200,4,3,1,1,21.3,2,4,25,19.9375,4.2466875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0012_120",1,120,20,5,"test"," (Operator: lizbethpino, Time: )","VF22-0012","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,180,14.46875,4.63,3,35,4,1,180,4,1,0,1,14,1,4,25,14.46875,2.025625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0013_207",1,207,7,9,"test"," (Operator: lizbethpino, Time: )","VF22-0013","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,200,30.71875,9.83,3,50,4,1,200,4,1,0,1,22.40823721,1,4,25,30.71875,6.88353036794687
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0015_300",1,300,1,12,"test"," (Operator: lizbethpino, Time: )","VF22-0015","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,180,17.1875,5.5,2,36,4,1,180,4,1,1,1,16.26338655,1,4,25,17.1875,2.79526956328125
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0018_242",1,242,9,10,"test"," (Operator: lizbethpino, Time: )","VF22-0018","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,135,19.0625,6.1,2,44,4,1,135,4,4,0,1,18.89991736,1,4,25,19.0625,3.60279674675
